Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R46,22,R_0402,79.5,-91.4,45,top
R47,200k,R_0402,78,-77.4,180,top
R48,2k2,R_0402,92.8,-72.2,180,top
R49,2k2,R_0402,91.1,-71.9,0,top
R50,22,R_0402,78.5,-79,270,top
R51,240,R_0402,91.1,-69.2,0,top
R52,240,R_0402,91.1,-70.1,0,top
R53,10M,R_0402,77.172792,-67.15,270,top
R54,5k1,R_0402,78.4,-71,270,top
R55,6k04,R_0402,77.6,-73.5,90,top
R56,2k2,R_0402,72.9,-57.55,0,top
R57,2k2,R_0402,72.9,-58.95,0,top
SW1,RST,SW_SPST_PTS810,79.05,-96.55,0,top
U1,AllWinner-S3(FBGA-234),FBGA-234(Pitch-0.65mm_Pad-0.3mm_11x11x1.08mm),84.6,-72.95,180,top
U2,AXP209(QFN-48),QFN-48-1EP_6x6mm_P0.4mm_EP4.05x4.05mm,66.5,-91.15,180,top
U3,SY8089AAAC,SOT-23-5,71.95,-83.3,90,top
U4,AP6236,LGA_44_12x12mm_0.9mm,86.7,-88.1,225,top
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,75.9,-66.4,270,top
Y2,24MHz,Oscillator_3225,76.5,-70,90,top
Y3,26MHz,Oscillator_3225,92.25,-79,135,top
